output,component,pair,S2,S2_conf
veracity_differential,deterministic,v_cost*loss,0.0010723014812504348,0.013474095342914534
veracity_differential,deterministic,v_cost*tpr,0.003619340776755825,0.013622300175472427
veracity_differential,deterministic,v_cost*fpr,-0.002091641875234862,0.015088527700934546
veracity_differential,deterministic,v_cost*p_fake,0.00339485051388011,0.014339121042516133
veracity_differential,deterministic,v_cost*log10_lambda,-0.0033325810641048337,0.013644244591988118
veracity_differential,deterministic,v_cost*loss_aversion,0.004260956020775324,0.013820337279615789
veracity_differential,deterministic,loss*tpr,0.0029052468688041677,0.03213528215977379
veracity_differential,deterministic,loss*fpr,-0.0040018670115051225,0.03374683663725641
veracity_differential,deterministic,loss*p_fake,0.015284013546481207,0.0363599802175179
veracity_differential,deterministic,loss*log10_lambda,0.015652074403822658,0.039228198823742885
veracity_differential,deterministic,loss*loss_aversion,-0.007835652796538431,0.03177612567253557
veracity_differential,deterministic,tpr*fpr,-0.021348459079089,0.058742275297245274
veracity_differential,deterministic,tpr*p_fake,-0.023194157607303256,0.05440424162786766
veracity_differential,deterministic,tpr*log10_lambda,-0.012938374012236686,0.06694755475938469
veracity_differential,deterministic,tpr*loss_aversion,-0.015688141989592584,0.05256541731062221
veracity_differential,deterministic,fpr*p_fake,0.0009318725810023021,0.058836801267334704
veracity_differential,deterministic,fpr*log10_lambda,-0.01484820302131723,0.06885685208358454
veracity_differential,deterministic,fpr*loss_aversion,-0.016177633035790943,0.05436384542057028
veracity_differential,deterministic,p_fake*log10_lambda,0.08933188915192003,0.07385514079796947
veracity_differential,deterministic,p_fake*loss_aversion,-0.04398109735282648,0.06268905630552607
veracity_differential,deterministic,log10_lambda*loss_aversion,-0.004645132863185042,0.07921726107803585
veracity_differential,stochastic,v_cost*loss,-0.001460744620708371,0.050516078965146795
veracity_differential,stochastic,v_cost*tpr,-0.007811920079549575,0.037144176174156184
veracity_differential,stochastic,v_cost*fpr,-0.025005655473896958,0.06719454899231088
veracity_differential,stochastic,v_cost*p_fake,-0.006136960866812091,0.05195543346952538
veracity_differential,stochastic,v_cost*log10_lambda,-0.0018608320761082098,0.08571356941273127
veracity_differential,stochastic,v_cost*loss_aversion,0.010560436885018922,0.040522719421990726
veracity_differential,stochastic,loss*tpr,0.0240227918527815,0.04956419559001662
veracity_differential,stochastic,loss*fpr,0.030757785403088822,0.08333815778767799
veracity_differential,stochastic,loss*p_fake,-0.053267304462996906,0.14099783266413898
veracity_differential,stochastic,loss*log10_lambda,0.025851970666109447,0.0954968037967804
veracity_differential,stochastic,loss*loss_aversion,0.020138255398476735,0.06111720484638591
veracity_differential,stochastic,tpr*fpr,0.08724437197492495,0.15673103756978385
veracity_differential,stochastic,tpr*p_fake,0.016127028151700223,0.08733370329349484
veracity_differential,stochastic,tpr*log10_lambda,0.09892864139997291,0.15937658863896725
veracity_differential,stochastic,tpr*loss_aversion,0.01219862760213052,0.07079134738642591
veracity_differential,stochastic,fpr*p_fake,0.011254428593503313,0.10670748107035694
veracity_differential,stochastic,fpr*log10_lambda,-0.004576648256085031,0.10382135701945899
veracity_differential,stochastic,fpr*loss_aversion,0.03977425080355323,0.0831155203099993
veracity_differential,stochastic,p_fake*log10_lambda,0.054202647529437833,0.20894786143075011
veracity_differential,stochastic,p_fake*loss_aversion,-0.08252300159962639,0.16132666883350272
veracity_differential,stochastic,log10_lambda*loss_aversion,-0.008989163813833533,0.09545598075826629
avg_verify_rate,deterministic,v_cost*loss,-0.002584846565980254,0.019363720711244117
avg_verify_rate,deterministic,v_cost*tpr,0.002123383397995754,0.020159554025964282
avg_verify_rate,deterministic,v_cost*fpr,0.001544009459685334,0.019931332572323282
avg_verify_rate,deterministic,v_cost*p_fake,0.001748933961056437,0.020195841796189114
avg_verify_rate,deterministic,v_cost*log10_lambda,-0.0031493120298999866,0.019427406667619152
avg_verify_rate,deterministic,v_cost*loss_aversion,0.004205991264237013,0.01987624993833784
avg_verify_rate,deterministic,loss*tpr,0.0006618773253973254,0.03338067404293716
avg_verify_rate,deterministic,loss*fpr,-0.005098179937695239,0.03398145109986606
avg_verify_rate,deterministic,loss*p_fake,0.0022482056734447475,0.038714654975586564
avg_verify_rate,deterministic,loss*log10_lambda,0.022641821009949326,0.04216017762147765
avg_verify_rate,deterministic,loss*loss_aversion,-0.01068897947211219,0.03415342475707286
avg_verify_rate,deterministic,tpr*fpr,-0.01598029389760056,0.04063260024012207
avg_verify_rate,deterministic,tpr*p_fake,-0.01988938034331053,0.04282387510336775
avg_verify_rate,deterministic,tpr*log10_lambda,-0.0024201874496739273,0.053881409093724235
avg_verify_rate,deterministic,tpr*loss_aversion,-0.017532831181933682,0.04114043478087916
avg_verify_rate,deterministic,fpr*p_fake,-0.0051067408990446705,0.026949574536030422
avg_verify_rate,deterministic,fpr*log10_lambda,0.006447004713226179,0.030655943092770244
avg_verify_rate,deterministic,fpr*loss_aversion,-0.0021127430259834552,0.024834839547554066
avg_verify_rate,deterministic,p_fake*log10_lambda,0.10972765805802265,0.07224799357483279
avg_verify_rate,deterministic,p_fake*loss_aversion,-0.07728466113961979,0.06125974306922006
avg_verify_rate,deterministic,log10_lambda*loss_aversion,0.015691357738636925,0.07523305767599289
avg_verify_rate,stochastic,v_cost*loss,0.011518349207527463,0.03714785756007693
avg_verify_rate,stochastic,v_cost*tpr,-0.0021868828379136077,0.03779299183975106
avg_verify_rate,stochastic,v_cost*fpr,-0.010942487547809993,0.042007321817565516
avg_verify_rate,stochastic,v_cost*p_fake,-0.010126298594704652,0.07524413673766471
avg_verify_rate,stochastic,v_cost*log10_lambda,-0.0008930682241532345,0.0920386449234236
avg_verify_rate,stochastic,v_cost*loss_aversion,0.011800547412097823,0.03820409672656897
avg_verify_rate,stochastic,loss*tpr,0.001140511207890063,0.04572613404836738
avg_verify_rate,stochastic,loss*fpr,0.03725195543874469,0.061699227363809936
avg_verify_rate,stochastic,loss*p_fake,-0.07308711058288239,0.16102852503356302
avg_verify_rate,stochastic,loss*log10_lambda,0.08341840638845809,0.13088390807053624
avg_verify_rate,stochastic,loss*loss_aversion,0.029888264794267545,0.06124137508978698
avg_verify_rate,stochastic,tpr*fpr,0.06395731323791716,0.12443104134080817
avg_verify_rate,stochastic,tpr*p_fake,0.006489541020376743,0.10892669078648738
avg_verify_rate,stochastic,tpr*log10_lambda,0.11835574460512212,0.18486453557087923
