output,component,factor,S1,S1_conf,ST,ST_conf,stoch_frac
avg_payoff,deterministic,log10_lambda,0.04093440528223925,0.027598955527737626,0.1187308815524267,0.018733976888179207,0.026258845005726214
avg_payoff,deterministic,loss_aversion,0.001582808601596353,0.009202306972917714,0.01098460122905687,0.0028830516177183823,0.026258845005726214
avg_payoff,stochastic,v_cost,0.008947510889042401,0.01904223040868323,0.08897617835096432,0.02217804018028828,0.026258845005726214
avg_payoff,stochastic,loss,0.011556689005739158,0.03266716277385079,0.24112790103345558,0.07217018770309955,0.026258845005726214
avg_payoff,stochastic,tpr,0.05485313161839424,0.036810267053728286,0.22135481462214265,0.05485530839444071,0.026258845005726214
avg_payoff,stochastic,fpr,0.043171618248844044,0.05001854891504379,0.2921071309509542,0.07449931091725506,0.026258845005726214
avg_payoff,stochastic,p_fake,0.1682347735417446,0.06687573458230496,0.6672363167218611,0.15729599752105586,0.026258845005726214
avg_payoff,stochastic,log10_lambda,0.1294019490623348,0.05477069946747403,0.506013093640882,0.1222606495831104,0.026258845005726214
avg_payoff,stochastic,loss_aversion,-0.0044439129277135505,0.044603019410090344,0.28603283709490346,0.1048758028320228,0.026258845005726214
sen_welfare,deterministic,v_cost,-0.0015321182212962492,0.010114547349394274,0.012160875307842952,0.0029386850365614725,0.15512484856778075
sen_welfare,deterministic,loss,0.032136569400048776,0.025435864134777917,0.08381641879901201,0.01428395772661515,0.15512484856778075
sen_welfare,deterministic,tpr,0.07898199723058143,0.03174840196894797,0.1362754709740913,0.019781049990418836,0.15512484856778075
sen_welfare,deterministic,fpr,0.02556733151922206,0.023138206846973295,0.06373898715534625,0.010290844221622306,0.15512484856778075
sen_welfare,deterministic,p_fake,0.6433428621673368,0.07665686617398268,0.815868069759129,0.07192333417095041,0.15512484856778075
sen_welfare,deterministic,log10_lambda,0.07504471950428979,0.03500877165362228,0.1734578751084218,0.01828256274821721,0.15512484856778075
sen_welfare,deterministic,loss_aversion,-0.0048989845276021906,0.016458475173147562,0.04097069708274901,0.00877458748683797,0.15512484856778075
sen_welfare,stochastic,v_cost,0.006282280887876541,0.0193959757362004,0.06896147272820399,0.02045483861864524,0.15512484856778075
sen_welfare,stochastic,loss,0.01336684576749386,0.03254556388008047,0.27025173194250474,0.06579798641368327,0.15512484856778075
sen_welfare,stochastic,tpr,0.12008363148928708,0.0640798478377292,0.44882355520618483,0.10418116982402366,0.15512484856778075
sen_welfare,stochastic,fpr,0.021556741804393174,0.02273705043139443,0.127420070501766,0.03456465357334784,0.15512484856778075
sen_welfare,stochastic,p_fake,0.0796999560488232,0.07143073310517742,0.6732967852093087,0.1269580859271539,0.15512484856778075
sen_welfare,stochastic,log10_lambda,0.14354567124949516,0.06708824598047082,0.5374674723221804,0.11898229311087238,0.15512484856778075
sen_welfare,stochastic,loss_aversion,0.0003664866333056909,0.046037910051475193,0.2754856334733455,0.056076974166134955,0.15512484856778075
